Navn,Drengenavn,Pigenavn
Adhira,Nej,Ja
Adhiya,Nej,Ja
Adhrita,Nej,Ja
Adhvik,Ja,Ja
Adhvika,Nej,Ja
Adhya,Nej,Ja
Adi,Ja,Ja
Adia,Nej,Ja
Adiam,Nej,Ja
Adian,Ja,Ja
Adianna,Nej,Ja
Adiba,Nej,Ja
Adie,Nej,Ja
Adile,Nej,Ja
Adilen,Nej,Ja
Adina,Nej,Ja
Adinah,Nej,Ja
Adine,Nej,Ja
Adinna,Nej,Ja
Adira,Nej,Ja
Adisa,Nej,Ja
Adissa,Nej,Ja
Adistya,Nej,Ja
Adita,Ja,Ja
Adithi,Nej,Ja
Aditi,Nej,Ja
Aditri,Nej,Ja
Adixia,Nej,Ja
Adiya,Nej,Ja
Adjazia,Nej,Ja
Adjeiley,Nej,Ja
Adjele,Nej,Ja
Adjo,Nej,Ja
Adjoa,Nej,Ja
Adjua,Nej,Ja
Adlene,Nej,Ja
Adlin,Nej,Ja
Adna,Nej,Ja
Adnana,Nej,Ja
Adnela,Nej,Ja
Ådnis,Nej,Ja
Ado,Nej,Ja
Adobea,Nej,Ja
Adolfina,Nej,Ja
Adolfine,Nej,Ja
Adolphine,Nej,Ja
Adoma,Nej,Ja
Adona,Nej,Ja
Adora,Nej,Ja
Adorela,Nej,Ja
Adowaa,Nej,Ja
Adreanna,Nej,Ja
Adreena,Nej,Ja
Adria,Nej,Ja
Adriana,Nej,Ja
Adríana,Nej,Ja
Adriane,Nej,Ja
Adrianna,Nej,Ja
Adrianne,Nej,Ja
Adriella,Nej,Ja
Adrielle,Nej,Ja
Adrienne,Nej,Ja
Adrija,Nej,Ja
Adrijalina,Nej,Ja
Adrijana,Nej,Ja
Adrina,Nej,Ja
Adubea,Nej,Ja
Adufe,Nej,Ja
Aduke,Nej,Ja
Adukwei,Nej,Ja
Adva,Nej,Ja
Advaita,Nej,Ja
Advika,Nej,Ja
Advita,Nej,Ja
Adwita,Nej,Ja
Adwoa,Nej,Ja
Ady,Nej,Ja
Adya,Nej,Ja
Adyeeri,Nej,Ja
Adzkiya,Nej,Ja
Adzo,Nej,Ja
Ae,Nej,Ja
Aedna,Nej,Ja
Aeindri,Nej,Ja
Aeirisha,Nej,Ja
Aeja,Nej,Ja
Aela,Nej,Ja
Aelia,Nej,Ja
Aeliana,Nej,Ja
Aelin,Nej,Ja
Aelita,Nej,Ja
Aella,Nej,Ja
Aelle,Nej,Ja
Æmilie,Nej,Ja
Æmma,Nej,Ja
Aena,Nej,Ja
Aenea,Nej,Ja
Ænima,Nej,Ja
Aenor,Nej,Ja
Aerin,Nej,Ja
Aeris,Nej,Ja
Aerith,Nej,Ja
Ærteblomst,Nej,Ja
Æsa,Nej,Ja
Aeter,Nej,Ja
Aeva,Nej,Ja
Aeya,Nej,Ja
Aezha,Ja,Ja
Afaf,Nej,Ja
Afak,Nej,Ja
Afanwi,Nej,Ja
Afeerah,Nej,Ja
Afeline,Nej,Ja
Afeni,Nej,Ja
Aferdita,Nej,Ja
Aff,Nej,Ja
Affry,Nej,Ja
Afi,Nej,Ja
Afia,Nej,Ja
Afie,Nej,Ja
Afifa,Nej,Ja
Afife,Nej,Ja
Afina,Nej,Ja
Afiqah,Nej,Ja
Afitab,Nej,Ja
Afiya,Nej,Ja
Afke,Nej,Ja
Afnaan,Nej,Ja
Afnan,Ja,Ja
Afra,Nej,Ja
Afrah,Nej,Ja
Afraima,Nej,Ja
Afrata,Nej,Ja
Afreen,Nej,Ja
Africa,Nej,Ja
Afrika,Nej,Ja
Afrin,Nej,Ja
Afriyie,Nej,Ja
Afrodite,Nej,Ja
Afroditi,Nej,Ja
Afrose,Nej,Ja
Afryn,Nej,Ja
Afsa,Nej,Ja
Afsaneh,Nej,Ja
Afsha,Nej,Ja
Afshan,Nej,Ja
Afshara,Nej,Ja
Afsheen,Nej,Ja
Afsoon,Nej,Ja
Afua,Nej,Ja
Afuwa,Nej,Ja
Agafia,Nej,Ja
Agalvizhi,Nej,Ja
Agalya,Nej,Ja
Agam,Ja,Ja
Agape,Nej,Ja
Agapi,Nej,Ja
Agata,Nej,Ja
Agate,Nej,Ja
Agatha,Nej,Ja
Agathe,Nej,Ja
Agda,Nej,Ja
Agdá,Nej,Ja
Ageno,Nej,Ja
Agga,Nej,Ja
Aggi,Nej,Ja
Aggie,Nej,Ja
Aggis,Nej,Ja
Agines,Nej,Ja
Agla,Nej,Ja
Aglaia,Nej,Ja
Aglaja,Nej,Ja
Agna,Nej,Ja
Agne,Ja,Ja
Agnea,Nej,Ja
Agnelea,Nej,Ja
Agnes,Nej,Ja
Agnés,Nej,Ja
Agnès,Nej,Ja
Ágnes,Nej,Ja
Agnesa,Nej,Ja
Agnese,Nej,Ja
Agneska,Nej,Ja
Agneskia,Nej,Ja
Agnesmarie,Nej,Ja
Agneta,Nej,Ja
Agnete,Nej,Ja
Agnetha,Nej,Ja
Agnethe,Nej,Ja
Agnette,Nej,Ja
Agnetthe,Nej,Ja
Agnez,Nej,Ja
Agni,Ja,Ja
Agnia,Nej,Ja
Agnieszka,Nej,Ja
Agnila,Nej,Ja
Agnita,Nej,Ja
Agny,Nej,Ja
Agoenja,Nej,Ja
Ågot,Nej,Ja
Agrianna,Nej,Ja
Agrin,Nej,Ja
Agrina,Nej,Ja
Agrippina,Nej,Ja
Agum,Nej,Ja
Ágústa,Nej,Ja
Agyapomaa,Nej,Ja
Agyeiwaa,Nej,Ja
Ah,Nej,Ja
Ahaana,Nej,Ja
Ahalaam,Nej,Ja
Ahalvizhi,Nej,Ja
Ahalya,Nej,Ja
Ahana,Nej,Ja
Ahanya,Nej,Ja
Ahava,Nej,Ja
Ahcaam,Nej,Ja
Ahdieh,Nej,Ja
Ahen,Nej,Ja
Ahlaam,Nej,Ja
Ahlam,Nej,Ja
Ahlan,Nej,Ja
Ahlea,Nej,Ja
Ahlia,Nej,Ja
Ahlma,Nej,Ja
Ahn,Nej,Ja
Ahona,Nej,Ja
Ahoo,Nej,Ja
Ahrong,Nej,Ja
Ahsaja,Nej,Ja
Ahsen,Ja,Ja
Ahsoka,Nej,Ja
Ahunna,Nej,Ja
Ahura,Ja,Ja
Ahvianna,Nej,Ja
Ahwaz,Nej,Ja
Ahza,Nej,Ja
Ai,Nej,Ja
Ái,Nej,Ja
Aia,Nej,Ja
Aïa,Nej,Ja
Aiaemilia,Nej,Ja
Aiah,Nej,Ja
Aiaphilou,Nej,Ja
Aiara,Nej,Ja
Aiasofia,Nej,Ja
Aicha,Nej,Ja
Aiche,Nej,Ja
Aichia,Nej,Ja
Aicia,Nej,Ja
Aida,Nej,Ja
Aïda,Nej,Ja
Äida,Nej,Ja
Aidah,Nej,Ja
Aidalia,Nej,Ja
Aidalina,Nej,Ja
Aidan,Ja,Ja
Aide,Nej,Ja
Aidel,Nej,Ja
Aiden,Ja,Ja
Aidi,Nej,Ja
Aie,Nej,Ja
Aieey,Nej,Ja
Aiesha,Nej,Ja
Aifa,Nej,Ja
Aigina,Nej,Ja
Aihnoa,Nej,Ja
Aiinooa,Nej,Ja
Aija,Nej,Ja
Aijahnana,Nej,Ja
Aijia,Nej,Ja
Aika,Nej,Ja
Aikaterine,Nej,Ja
Aikaterini,Nej,Ja
Aiko,Ja,Ja
Aila,Nej,Ja
Ailani,Nej,Ja
Ailbhe,Nej,Ja
Aileen,Nej,Ja
